OTU ID	C1.01A	C1.02A	C1.03A	C1.04A	C1.05A	C1.06A	C1.07A	C1.08A	C1.09A	C1.10A	C1.11A	C1.12A	C1.13A	C1.14A	C1.15A	C1.16A	C1.17A	C1.19A	C1.20A	C1.21A	C1.22A	C1.23A	C1.24A	C1.25A	C1.26A	C1.27A	C2.01A	C2.02A	C2.03A	C2.04A	C2.05A	C2.06A	C2.07A	C2.09A	C2.10A	C2.11A	C2.12A	C2.13A	C2.14A	C2.15A	C2.16A	C2.17A	C2.18A	C2.19A	C2.20A	C2.21A	C2.22A	C2.24A	C2.25A	C2.26A	C2.27A	C3.01A	C3.02A	C3.03A	C3.04A	C3.05A	C3.06A	C3.07A	C3.12A	C3.23A	C3.24A	T1.01A	T1.02A	T1.03A	T1.04A	T1.05A	T1.06A	T1.07A	T1.08A	T1.09A	T1.10A	T1.11A	T1.12A	T1.13A	T1.14A	T1.15A	T1.17A	T1.18A	T1.19A	T1.20A	T1.21A	T1.22A	T1.23A	T1.24A	T1.26A	T1.27A	T1.29A	T1.30A	T2.01A	T2.02A	T2.03A	T2.04A	T2.05A	T2.06A	T2.07A	T2.08A	T2.09A	T2.10A	T2.11A	T2.12A	T2.13A	T2.14A	T2.15A	T2.17A	T2.18A	T2.19A	T2.20A	T2.21A	T2.22A	T2.23A	T2.24A	T2.26A	T2.27A	T2.29A	T2.30A	T3.01A	T3.02A	T3.03A	T3.04A	T3.05A	T3.06A	T3.07A	T3.08A	T3.09A	T3.10A	T3.11A	T3.13A	T3.14A	T3.15A	T3.18A	T3.19A	T3.22A	T3.29A
c3342d2a9a35fb23f494d299efedfcb9	45.0	815.0	66.0	6425.0	21.0	664.0	11.0	5855.0	2060.0	581.0	1577.0	819.0	125.0	499.0	18.0	427.0	22.0	26.0	390.0	74.0	1454.0	8199.0	76.0	449.0	3243.0	6476.0	9408.0	179.0	28.0	242.0	3091.0	626.0	36979.0	4176.0	3075.0	4010.0	2788.0	5.0	1812.0	753.0	853.0	4.0	257.0	30.0	2095.0	4867.0	1110.0	15742.0	1932.0	599.0	107.0	2320.0	192.0	27.0	9626.0	9063.0	264.0	6303.0	870.0	3352.0	12382.0	335.0	289.0	2147.0	285.0	7711.0	135.0	127.0	8768.0	212.0	7804.0	713.0	283.0	107.0	19.0	7408.0	10473.0	128.0	2471.0	663.0	12460.0	94.0	14801.0	721.0	53.0	16.0	72.0	35.0	160.0	77814.0	22397.0	293.0	8005.0	2188.0	123.0	139.0	621.0	30737.0	106.0	229.0	293.0	144.0	157.0	24531.0	433.0	3325.0	341.0	22454.0	186.0	194.0	16716.0	92.0	2424.0	198.0	129.0	473.0	57946.0	1153.0	578.0	7139.0	1512.0	115.0	8079.0	252.0	19649.0	173.0	70.0	67.0	338.0	471.0	21021.0	948.0	16647.0
8dc2317e1020f3f49ebe1b5e17f26989	21672.0	8407.0	665.0	354.0	0.0	0.0	0.0	9001.0	7338.0	0.0	3488.0	2860.0	0.0	4262.0	229.0	1108.0	2145.0	217.0	0.0	31.0	0.0	15.0	0.0	488.0	47.0	281.0	71109.0	1475.0	2796.0	4377.0	0.0	116.0	0.0	8047.0	0.0	4416.0	6337.0	0.0	1438.0	502.0	991.0	1513.0	487.0	193.0	0.0	0.0	22992.0	0.0	12902.0	0.0	7860.0	56081.0	911.0	2695.0	13470.0	0.0	207.0	11604.0	6418.0	0.0	0.0	0.0	3895.0	0.0	168.0	38.0	168.0	0.0	730.0	91.0	5247.0	378.0	1870.0	2894.0	176.0	68.0	791.0	1011.0	34.0	7.0	0.0	588.0	998.0	2051.0	674.0	1400.0	4241.0	846.0	0.0	1380.0	335.0	192.0	87.0	18883.0	0.0	1769.0	7934.0	1165.0	69.0	1535.0	15.0	280.0	305.0	567.0	5311.0	2283.0	3.0	0.0	0.0	40.0	6120.0	3767.0	5861.0	6922.0	2136.0	362.0	837.0	9.0	0.0	0.0	4919.0	0.0	1066.0	626.0	8725.0	90.0	1692.0	153.0	164.0	2537.0	3138.0	0.0	12649.0
73430bc839451a90e446092bddb91416	0.0	7.0	0.0	0.0	27599.0	0.0	0.0	0.0	0.0	10906.0	0.0	4.0	0.0	7538.0	0.0	0.0	38.0	0.0	0.0	17670.0	1606.0	0.0	0.0	32729.0	0.0	0.0	0.0	0.0	0.0	0.0	906.0	2663.0	29.0	11.0	14158.0	10.0	0.0	0.0	7258.0	0.0	0.0	0.0	6606.0	113.0	0.0	915.0	0.0	0.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	676.0	8832.0	28.0	3.0	0.0	0.0	114.0	51.0	16605.0	8.0	8985.0	21331.0	0.0	0.0	3342.0	0.0	0.0	0.0	16283.0	0.0	0.0	7822.0	0.0	0.0	232.0	4541.0	0.0	0.0	0.0	0.0	0.0	10879.0	0.0	4739.0	18.0	16.0	0.0	0.0	217.0	0.0	0.0	5838.0	0.0	0.0	0.0	26092.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	12203.0	0.0	15086.0	0.0	5003.0	8153.0	0.0	0.0	5628.0	0.0	0.0	13904.0	0.0	0.0	0.0	0.0	0.0	0.0
cece12865e81c96a523b3bb6a4511561	5394.0	12.0	1410.0	836.0	49.0	3992.0	0.0	487.0	0.0	362.0	1314.0	977.0	1341.0	937.0	0.0	253.0	628.0	2371.0	760.0	1033.0	1013.0	38.0	337.0	1599.0	7287.0	12036.0	518.0	0.0	475.0	4499.0	53.0	3515.0	1936.0	0.0	173.0	2179.0	38.0	34.0	2101.0	0.0	8558.0	5497.0	67.0	1636.0	1133.0	511.0	0.0	288.0	0.0	3301.0	183.0	59.0	2471.0	4819.0	721.0	280.0	79.0	97.0	2143.0	0.0	118.0	706.0	4840.0	413.0	6114.0	1415.0	160.0	1265.0	0.0	317.0	10654.0	4771.0	3235.0	2317.0	6809.0	304.0	711.0	83.0	3352.0	6529.0	7270.0	0.0	0.0	7102.0	9.0	1058.0	238.0	1478.0	1089.0	2612.0	17148.0	9257.0	16400.0	313.0	1677.0	1234.0	506.0	3817.0	7030.0	2581.0	627.0	9329.0	2056.0	48.0	5.0	698.0	9818.0	1662.0	0.0	0.0	3686.0	867.0	57.0	367.0	6115.0	1723.0	2144.0	422.0	1910.0	2981.0	324.0	2447.0	217.0	637.0	413.0	5482.0	1296.0	8943.0	2822.0	33.0	105.0	0.0	825.0
1b5fd9c104dde8de90b4991589438205	0.0	4649.0	48.0	537.0	187.0	4769.0	0.0	0.0	1311.0	0.0	543.0	3354.0	0.0	1807.0	353.0	14767.0	1684.0	8368.0	109.0	0.0	0.0	1181.0	649.0	1271.0	1439.0	304.0	0.0	6409.0	12780.0	120.0	18055.0	3206.0	0.0	1903.0	0.0	1386.0	5427.0	0.0	610.0	478.0	3781.0	3679.0	0.0	747.0	10087.0	0.0	0.0	8598.0	110.0	0.0	564.0	0.0	3355.0	3651.0	243.0	11222.0	1110.0	3065.0	57.0	542.0	9202.0	496.0	0.0	0.0	1456.0	54.0	0.0	1259.0	0.0	141.0	0.0	0.0	7730.0	0.0	214.0	368.0	0.0	1646.0	1785.0	0.0	70.0	7193.0	422.0	1287.0	10783.0	1788.0	2188.0	7506.0	2138.0	0.0	0.0	1217.0	0.0	0.0	155.0	0.0	7060.0	0.0	0.0	6151.0	0.0	1145.0	3588.0	0.0	1193.0	3175.0	0.0	692.0	378.0	80.0	8020.0	3411.0	4051.0	10563.0	12.0	344.0	0.0	0.0	4953.0	20.0	0.0	604.0	0.0	1146.0	0.0	0.0	0.0	357.0	1837.0	4877.0	5.0	5091.0	1039.0
c4cbd5e5bc1d0b1845905fe87c125197	0.0	0.0	1299.0	0.0	5.0	5291.0	0.0	1022.0	0.0	0.0	0.0	165.0	0.0	0.0	1021.0	0.0	18040.0	0.0	0.0	0.0	10208.0	2698.0	53.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	5877.0	2380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2209.0	0.0	2474.0	2676.0	0.0	0.0	0.0	2604.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	3663.0	606.0	2090.0	0.0	2540.0	0.0	13882.0	7781.0	0.0	0.0	13474.0	2333.0	2559.0	11135.0	3594.0	9.0	0.0	0.0	0.0	5.0	2787.0	0.0	0.0	0.0	5092.0	28.0	7933.0	189.0	0.0	0.0	903.0	0.0	708.0	11070.0	32.0	0.0	0.0	0.0	42.0	32.0	20561.0	1028.0	0.0	0.0	0.0	0.0	208.0	3176.0	0.0	0.0	0.0	2564.0	0.0	4494.0	713.0	0.0	0.0	2272.0	0.0	503.0	877.0	87.0	0.0	5623.0	5208.0	418.0	803.0	7208.0	1000.0	0.0	0.0	0.0	69.0	1354.0	8.0	19.0	4524.0	16.0
620583783c4c9b8e27da9c4c5238f5c6	4.0	0.0	400.0	1930.0	5284.0	7100.0	0.0	524.0	6771.0	0.0	1099.0	2713.0	1085.0	1384.0	579.0	2850.0	1734.0	401.0	70.0	7131.0	271.0	1792.0	239.0	53.0	150.0	188.0	0.0	0.0	196.0	1458.0	6291.0	5349.0	0.0	4034.0	0.0	679.0	1116.0	0.0	4587.0	1238.0	1314.0	882.0	10581.0	212.0	0.0	12848.0	2075.0	623.0	0.0	0.0	369.0	0.0	1292.0	0.0	14.0	2720.0	1695.0	2393.0	0.0	1169.0	306.0	12622.0	242.0	2502.0	203.0	4566.0	1752.0	1915.0	6.0	4211.0	263.0	854.0	3888.0	0.0	274.0	1443.0	384.0	6237.0	1007.0	0.0	18.0	187.0	0.0	514.0	5406.0	1908.0	0.0	2793.0	2574.0	0.0	102.0	144.0	13.0	599.0	13.0	0.0	342.0	20.0	479.0	4464.0	0.0	1794.0	4359.0	0.0	2948.0	1691.0	0.0	41.0	1226.0	0.0	475.0	427.0	4183.0	767.0	806.0	245.0	0.0	824.0	6843.0	2508.0	341.0	324.0	4.0	1454.0	0.0	283.0	0.0	540.0	1870.0	6702.0	8.0	2301.0	14.0
db251dddc4007bedead4b68518486213	22108.0	5818.0	7418.0	2235.0	329.0	1320.0	0.0	34.0	236.0	3367.0	559.0	1103.0	1131.0	1106.0	70.0	309.0	1851.0	526.0	178.0	180.0	283.0	98.0	364.0	977.0	169.0	22.0	723.0	11404.0	6678.0	4403.0	2752.0	1574.0	14.0	34.0	1712.0	563.0	1713.0	3464.0	150.0	308.0	148.0	648.0	114.0	243.0	1424.0	42.0	468.0	462.0	1479.0	0.0	3676.0	693.0	152.0	855.0	161.0	541.0	446.0	559.0	53.0	709.0	189.0	359.0	7395.0	753.0	584.0	2688.0	276.0	8218.0	5171.0	1374.0	4718.0	220.0	417.0	280.0	595.0	5112.0	445.0	5226.0	325.0	444.0	45.0	3253.0	260.0	2402.0	984.0	814.0	1414.0	330.0	122.0	51.0	1011.0	505.0	42.0	7473.0	14.0	5891.0	8417.0	5556.0	157.0	435.0	554.0	538.0	1408.0	1106.0	261.0	643.0	235.0	644.0	111.0	21.0	1055.0	1741.0	456.0	675.0	254.0	39.0	26.0	211.0	556.0	1301.0	1018.0	839.0	804.0	425.0	40.0	46.0	65.0	281.0	404.0	677.0	655.0	77.0	399.0
2358df28ab58699505715869111dddbd	0.0	0.0	7862.0	244.0	2014.0	2334.0	0.0	63.0	592.0	1366.0	23.0	1410.0	5290.0	2379.0	3837.0	0.0	787.0	1403.0	0.0	1585.0	280.0	653.0	2205.0	3490.0	2123.0	45.0	0.0	0.0	4341.0	677.0	365.0	1132.0	0.0	122.0	1081.0	24.0	33.0	604.0	1119.0	2115.0	21.0	3090.0	715.0	166.0	149.0	142.0	0.0	96.0	0.0	1185.0	729.0	0.0	3727.0	8118.0	0.0	290.0	186.0	24.0	1115.0	455.0	59.0	131.0	336.0	983.0	319.0	3327.0	2557.0	1393.0	1294.0	4764.0	2324.0	7409.0	5228.0	2771.0	4300.0	30.0	1497.0	0.0	113.0	4588.0	939.0	0.0	24.0	1294.0	0.0	3377.0	2573.0	1316.0	53.0	1449.0	1868.0	236.0	1870.0	1693.0	3219.0	2436.0	2498.0	4516.0	2173.0	4213.0	5753.0	5650.0	2035.0	0.0	0.0	87.0	906.0	168.0	0.0	41.0	32.0	859.0	36.0	546.0	844.0	924.0	277.0	1636.0	442.0	1596.0	1537.0	2109.0	1894.0	3017.0	0.0	1926.0	1478.0	2887.0	1382.0	40.0	0.0	0.0	0.0
6a473ca62d3d06a761d9a7054397fa1a	0.0	241.0	571.0	29348.0	0.0	167.0	0.0	4270.0	864.0	0.0	850.0	0.0	0.0	121.0	111.0	0.0	3570.0	1239.0	9.0	0.0	59.0	1019.0	128.0	345.0	780.0	98.0	0.0	4064.0	4682.0	15520.0	393.0	172.0	0.0	0.0	0.0	1021.0	0.0	0.0	1171.0	973.0	10.0	2083.0	174.0	166.0	52.0	0.0	2473.0	1403.0	579.0	0.0	222.0	0.0	244.0	811.0	6743.0	236.0	284.0	847.0	0.0	3486.0	879.0	794.0	713.0	0.0	0.0	660.0	179.0	1422.0	4107.0	63.0	842.0	315.0	375.0	0.0	209.0	192.0	157.0	2519.0	160.0	69.0	176.0	1463.0	37.0	135.0	15446.0	180.0	618.0	788.0	182.0	6.0	0.0	0.0	0.0	23.0	100.0	5281.0	124.0	6836.0	0.0	298.0	0.0	3429.0	890.0	11322.0	2665.0	69.0	0.0	1216.0	519.0	43.0	87.0	6187.0	1885.0	1474.0	4005.0	45.0	11.0	0.0	192.0	380.0	58.0	513.0	2354.0	58.0	432.0	49.0	0.0	1065.0	845.0	2258.0	34.0	7908.0	57.0
